Name ,Address,Category 
Chicago Human Services Department,"4314 S Cottage Grove Ave, Chicago, IL",Lawyer
Chicago Torture Justice Center,"641 W 63rd St, Chicago, IL",Lawyer
Chicago-Kent Self-Help Web Center,"50 West Washington Street, Chicago, IL",Lawyer
Christopher Smith Trial Group,"53 W Jackson Blvd, Chicago, IL",Lawyer
Criminal Division/Cook County Court Office ,"2600 S. California Ave., Chicago, IL",Lawyer
Dvorak Law Offices,"900 W Jackson, Chicago, IL",Lawyer
Greater Chicago Food Depository,"4100 W Ann Lurie Pl, Chicago, IL",Lawyer
Greater Englewood Chamber of Commerce,"815 W 63rd St, Chicago, IL",Lawyer
Hale & Monico,"53 W JACKSON BLVD, Chicago, IL",Lawyer
Howard Brown Health 63rd St.,"641 W 63rd St, Chicago, IL",Lawyer
Illinois Attorney General,"100 West Randolph Street, Chicago, IL",Lawyer
Illinois Department of Human Services,"8001 S Cottage Grove Ave, Chicago, IL",Lawyer
Illinois DHS Family Community Resource Center,"1642 W 59th St, Chicago, IL",Lawyer
Illinois Legal Aid Online,,Lawyer
Illinois Prison Project,"53 W. Jackson, Chicago, IL",Lawyer
Jackowiak Law Offices,"111 W Washington St, Chicago, IL",Lawyer
Life Span,"70 E. Lake Street, Chicago, IL",Lawyer
Loevy & Loevy,,Lawyer
Parolee Assistance,,Lawyer
Peter Francis Geraci Law L.L.C.,"5401 S Wentworth Ave, Chicago, IL",Lawyer
Pretrial Services Division,,Lawyer
Public Aid Department,"915 E 63rd St, Chicago, IL",Lawyer
Social Security Administration,"6202 S Halsted St, Chicago, IL",Lawyer
Sunyata Law LLC,"815 W 63rd St, Chicago, IL",Lawyer
"Support the Girls, Chicago","11431 Amherst Avenue, Chicago, IL",Lawyer
Target Area Development Corp.,"1542 West 79th Street, Chicago, IL",Lawyer
TASC Clinton Street Office ,"700 S. Clinton St. , Chicago, IL",Lawyer
TASC Hamilton Youth Services Office ,"1100 S. Hamilton Ave. , Chicago, IL",Lawyer
Teamwork Englewood,"815 W 63rd St, Chicago, IL",Lawyer
The Law Office of Matthew J. Hachigian,"33 N. Addison Rd., Chicago, IL",Lawyer
The Sotos Law Firm,"141 W. Jackson Blvd., Chicago, IL",Lawyer
Uptown People's Law Center,"4413 N. Sheridan, Chicago, IL",Lawyer
Women's Justice Institute,"6 S Clark St, Chicago, IL",Lawyer
Youth Evening Reporting Center ,"5112 S. Halsted St. , Chicago, IL",Lawyer
Chicago Bar Foundation,"321 S Plymouth Ct, Chicago, IL 60604",Lawyer
Sidley,,Lawyer
Winston & Strawn,"35 W. Wacker Drive, Chicago, IL",Lawyer
Illinois Equal Justice Foundation,"65 E Wacker Pl , Chicago, IL 60601",Lawyer
Illinois Bar Foundation,"20 S Clark St, Chicago, IL 60603",Lawyer
Lawyers Trust Fund Illinois,"65 East Wacker Place, Chicago, IL",Lawyer
Seyfarth Shaw,"233 South Wacker Drive, Chicago, IL",Lawyer
Latham & Watkins LLP,"330 North Wabash Avenue, , Chicago, IL",Lawyer
Access to Justice,"950 Pennsylvania Avenue, NW, Washington, DC 20530-0001",Lawyer
Susan Crown Exchange,"4 E. Ohio St. , Chicago, IL",Lawyer
Kirkland & Ellis,"300 North LaSalle, Chicago, IL",Lawyer
Helen Brach Foundation,"104 S Michigan Ave, Chicago, IL 60603",Lawyer
Polk Bros Foundation,"20 W Kinzie St , Chicago, IL 60654",Lawyer
RiseKit,"1639 W Walnut St, Chicago, IL 60612",Lawyer
Allen's Family Counseling,"226 W Ontario St, Chicago, IL 60654",Lawyer
KLEO Family Life Center,"119 E Garfield Blvd, Chicago, IL 60637",Lawyer
Illinois Institute of Tech,"10 West 35th Street, Chicago, IL",Lawyer
Illinois Access to Justice,"222 N. LaSalle St, Chicago, IL",Lawyer
Best Adult Literacy Program,"6701 S Emerald Ave, Chicago, IL",GED
Center for Higher Development,"8732 S Burley Ave, Chicago, IL",GED
Chicago Free School,"1100 E Hyde Park Blvd, Chicago, IL",GED
Chicago Learning Center,"7214 S Cottage Grove Ave, Chicago, IL",GED
Chicago Public School Pilsen-Little Village Parent University,"2001 S Throop St, Chicago, IL",GED
Chicago Urban League,"4510 Michigan Ave, Chicago, IL",GED
Chitown Tutoring,"2001 S Michigan Ave , Chicago, IL",GED
Community Youth Development Institute,"7832 S Union Ave, Chicago, IL",GED
Cook County GED Records Office,"100 W Randolph St, Chicago, IL 60601",GED
East Chicago Adult Learning Center,"3616 Elm St, East Chicago, IN 46312",GED
Family Legacy Foundation,"2319 E 71st St, Chicago, IL",GED
Featherfirst,"2255 E 75th St,  Chicago, IL",GED
Greater Auburn-Gresham Development,"1159 W 79th St,  Chicago, IL",GED
"GT Education Center ESL School Chicago Downtown(TOEFL Prep,University Prep)","816 S Michigan Ave,  Chicago, IL",GED
Harris School of Public Policy (The Keller Center),"1307 E 60th St,  Chicago, IL",GED
Heartland Alliance For Human Needs & Human Rights - Food Distribution Center,"208 S LaSalle St,  Chicago, IL",GED
Human Capital and Economic Opportunity Global Working Group," 1126 E 59th St,  Chicago, IL",GED
Hyde Park Academy High School,"6220 S Stony Island Ave,  Chicago, IL",GED
I Grow Chicago,"6402 S Honore St,  Chicago, IL",GED
Ignite - Belfort House,"3745 S Indiana Ave,  Chicago, IL",GED
Jane Addams Resource Corporation,"4432 N Ravenswood Ave,  Chicago, IL",GED
Laborers Training Center,"5700 W Homer St,  Chicago, IL",GED
Latino Youth High School,"2001 S California Ave,  Chicago, IL",GED
Literacy Chicago,"641 W Lake St,  Chicago, IL",GED
Marie Sklodowska Curie Metropolitan High School,"4959 S Archer Ave,  Chicago, IL",GED
National Latino Education Institute,2011 W Pershing Rd,GED
New Hope Job Training Center,"7928 S Ashland Ave,  Chicago, IL",GED
No Adults Left Behind High School,"6248 S Ashland Ave,  Chicago, IL",GED
North Lawndale Adult Transition Center,"2839 W Fillmore St,  Chicago, IL",GED
Ombudsman Chicago South,"6057 S Western Ave,  Chicago, IL",GED
Regional Safe Schools Programs,"3220 W 98th St, Evergreen Park, IL 60805",GED
School CYDI,"7836 S Union Ave, Chicago, IL",GED
Schools Public Hilliard,"6533 S Stewart Ave, Chicago, IL",GED
Solorio Academy High School,"5400 S St Louis Ave, Chicago, IL",GED
South Central Community Services,"8316 S Ellis Ave, Chicago, IL",GED
South Central Elementary School,"7550 S Phillips Ave, Chicago, IL",GED
South Chicago Learning Center,"3055 E 92nd St, Chicago, IL",GED
Southside YMCA,"6330 S Stony Island Ave, Chicago, IL",GED
St. Sabina Employment Resource Center,"7825 S Racine Ave, Chicago, IL",GED
Sullivan House Alternative,"8164 S South Chicago Ave, Chicago, IL",GED
The Arturo Velesquez Westside Technical Institute,"2800 S Western Ave, Chicago, IL",GED
The Learning Center,"2153 S Millard Ave, Chicago, IL",GED
The Resource Center for Autism and Developmental Delays,"10 S Kedzie Ave, Chicago, IL",GED
Tolton Adult Education Center,"3647 S State St, Chicago, IL 60609",GED
Transforming Re-Entry Services / MWIPM,"10 W 35th St, Chicago, IL",GED
Westside Learning Center,"4624 W Madison St, Chicago, IL",GED
Woodlawn Resource Center,"6144 S Cottage Grove Ave, Chicago, IL",GED
